id,title,category,incident_date,location_name,district,state,latitude,longitude,legal_status,source_count,publishers,primary_url,summary
518,"POCSO Act | Teacher Hitting Girl Students on Back, Waist Without Sexual Intent Does Not Amount to Sexual Assault: Supreme Court",POCSO / Minor,2026-09-12,,,,,,Under Investigation,1,Court Book,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNU1NhYmJsM0hCS2E2dmlYZzZ3aWlTbkdXem4yRlUwLXZYZnFGQ291UVlBR0VfbnRaSFVmVEdxMG12SUhqekJOSzR6am8wSWFYei1Yb2RFRUlUdGJsYUMtYUlaWWhIcVl3NWNXSm1PMVB0RGhwWFY1bUdoZ2NNZUxlQkI2RUhuTnpuWkxaMDBSUEFlVFA5M2xDQjF1bmh4UkNZcWJmaEhiZzEzanFwTXd2MjZnSG9ib0psbC0zcVM3V0l6cThfdk9hYkYtaWtkWlBHNFUtNUk2RVlwRlh0RzZIRGxNcWxSZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNU1NhYmJsM0hCS2E2dmlYZzZ3aWlTbkdXem4yRlUwLXZYZnFGQ291UVlBR0VfbnRaSFVmVEdxMG12SUhqekJOSzR6am8wSWFYei1Yb2RFRUlUdGJsYUMtYUlaWWhIcVl3NWNXSm1PMVB0RGhwWFY1bUdoZ2NNZUxlQkI2RUhuTnpuWkxaMDBSUEFlVFA5M2xDQjF1bmh4UkNZcWJmaEhiZzEzanFwTXd2MjZnSG9ib0psbC0zcVM3V0l6cThfdk9hYkYtaWtkWlBHNFUtNUk2RVlwRlh0RzZIRGxNcWxSZw?oc=5"" target=""_blank"">POCSO Act | Teacher Hitting Girl Students on Back, Waist Without Sexual Intent Does Not Amount to Sexual Assault: Sup"
351,Tamil Nadu assembly election results: TVK set to emerge as single largest party,Other GBV,2026-09-12,Tamil Nadu,Tamil Nadu,Tamil Nadu,11.1271,78.6569,Under Investigation,1,News On AIR,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTXBndW9xNjJhOTVSUGZrblNfcmhkYXFLT0s5X3k3VnBnVlJFU0JCZGVuQW9wZkJEckNHemFMODdxZlRLbGJ2LUFSZkJ6ZEpQdG1saWNVRE4zTkZCRXZ5NndFdHZmN1BCVHVRcmptTXE0bEtoRWNqT3hUbGF0Tk4xTFNrTzJ5aEdaU0UzU1hTcHhjRGhzOHJtOFhtUVRpN0hjWWh3NTRPTWVnTXhaR1NVZlF5YmVTMno4Qnpn?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTXBndW9xNjJhOTVSUGZrblNfcmhkYXFLT0s5X3k3VnBnVlJFU0JCZGVuQW9wZkJEckNHemFMODdxZlRLbGJ2LUFSZkJ6ZEpQdG1saWNVRE4zTkZCRXZ5NndFdHZmN1BCVHVRcmptTXE0bEtoRWNqT3hUbGF0Tk4xTFNrTzJ5aEdaU0UzU1hTcHhjRGhzOHJtOFhtUVRpN0hjWWh3NTRPTWVnTXhaR1NVZlF5YmVTMno4Qnpn?oc=5"" target=""_blank"">Tamil Nadu assembly election results: TVK set to emerge as single largest party</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News On AIR</font>"
174,"UP teenager dies by suicide after alleged police inaction on stalking, molestation complaints",Harassment & Stalking,2026-09-12,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,26.8467,80.9462,Under Investigation,1,Telegraph India,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUWdjUjhnT0g5Wk9UTHpaMGV1LXdMVlFDSnU3aEZvdWtCRlhVR0FQNzYyQkhWWDhId0xyeUtXYl8zZ2xodVpiRHVaWjh6OTBSSU1aaXAyUW1BRC1TTV9kNWFRY19rc0NDMUx5S2dveFB5czYwUWJnbmM2ajJlRmhiWHdiVE1tZ25OM3RzYkl0SVRnTzZHbEVQRi1lNHNlNVJnSm1RbGV6Rm5ILXNKOGlHSU5OTGdJUHdoR19CRFJjMXRsZ1ZRWkVCeEMtVEktWFh1RFd1djBKV2VTb1pEOHRz0gHkAUFVX3lxTFBhOTVEQ2VJMmo3YUdTTzNCcTlXdlB2QVFocFk4WF9Hc1NEYXUyRDFGQ19VRkpQMmRGUjJOTk9rb1AyRUpGdmt2RnBub2hNY0Uzcy1UZGwtM2RGZmpIOHlwU2IxNDlOaHp5bW14X1NRUm1wVl9kelVoYTZ3bmVYS0MyS1VqOGhaSFZDMFhGSlpCdWZSc2o5UGIxVXNhTlV1LWlpaFFYamVBWFVuTkw5NWxCQTdqdzUxczlCaVFyR1FUMGlSMXdJWEZRRFkyWGJCUmRLMzN0Rml6bEtsblcwSi1yZUpmZA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOUWdjUjhnT0g5Wk9UTHpaMGV1LXdMVlFDSnU3aEZvdWtCRlhVR0FQNzYyQkhWWDhId0xyeUtXYl8zZ2xodVpiRHVaWjh6OTBSSU1aaXAyUW1BRC1TTV9kNWFRY19rc0NDMUx5S2dveFB5czYwUWJnbmM2ajJlRmhiWHdiVE1tZ25OM3RzYkl0SVRnTzZHbEVQRi1lNHNlNVJnSm1RbGV6Rm5ILXNKOGlHSU5OTGdJUHdoR19CRFJjMXRsZ1ZRWkVCeEMtVEktWFh1RFd1djBKV2VTb1pEOHRz0gHkAUFVX3lxTFBhOTVEQ2VJMmo3YUdTTzNCcTlXdlB2QVFocFk4WF9Hc1NEYXUyRDFGQ19VRkpQMmRGUjJOTk9rb1AyRUpGdmt2RnBub2hNY0Uzcy1UZGwtM2RGZmpIOHlwU2IxNDlOaHp5bW14X1"
173,Porn videos found on rape convict Prajwal Revanna's phone seized in jail,Sexual Assault,2026-09-12,,,,,,Under Investigation,1,Rediff,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTTdoX0c3b3BhMzF6VTZpbWRWWHYwSlZMazhNYWU2bFRaZWlQMERlWjd0R21lNmhmeGxYUmRZZ182R0g1Zl8wUnVZWlBMR3psaUh4WUJoQjhXZVlUQjJ4TnExc1ZtQ1JvdmVoTTdLOTVaTXlSRDFZTWpmRFh1SGpEbllLTTQxQWZXWTBOMXRXU3Q1a1ZiUHhVMndXb2N6WHNoWXp0ZGZkdDM4STFGeENwZ3dteG8xX0lVQkNF0gG-AUFVX3lxTE0xcF85ZnJNc1BTZEk4ajc4OUNXeEl2dkhERW9sLS14aWI2Q1R2Rjc0c2tvSUNsU0tfU0ZGMFJFUE1CZmx5bGl5NDNOaFZoSV82eVFiRzI3bmNWZ2hqcXFVVDlXUW1FN3JqMmpoN3dWM0Y0RFJFYW5acFFQUnJucVdkS2pESEhsalZiZmF2a1VWLS11anB4V2FTRnNXWFEzb1lrQkNBZkthZTJsbENnMm84S28yRDR3cE1aWXZ1UkE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTTdoX0c3b3BhMzF6VTZpbWRWWHYwSlZMazhNYWU2bFRaZWlQMERlWjd0R21lNmhmeGxYUmRZZ182R0g1Zl8wUnVZWlBMR3psaUh4WUJoQjhXZVlUQjJ4TnExc1ZtQ1JvdmVoTTdLOTVaTXlSRDFZTWpmRFh1SGpEbllLTTQxQWZXWTBOMXRXU3Q1a1ZiUHhVMndXb2N6WHNoWXp0ZGZkdDM4STFGeENwZ3dteG8xX0lVQkNF0gG-AUFVX3lxTE0xcF85ZnJNc1BTZEk4ajc4OUNXeEl2dkhERW9sLS14aWI2Q1R2Rjc0c2tvSUNsU0tfU0ZGMFJFUE1CZmx5bGl5NDNOaFZoSV82eVFiRzI3bmNWZ2hqcXFVVDlXUW1FN3JqMmpoN3dWM0Y0RFJFYW5acFFQUnJucVdkS2pESEhsalZiZmF2a1VWLS"
171,Porn videos found on rape convict Prajwal Revanna’s smuggled mobile phone seized in jail,Sexual Assault,2026-09-12,,,,,,Under Investigation,1,theweek.in,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOYjcyb1ZKeUVzZWd5RlpLNlJfcE5RMlJwWGVWT09FMVRERTlhY0pYZzdQbEJRb1BDNHlEeDRKcGZwUkdna05hSmNvRjBBVV9LUTk4V0gzZlNLVDVWczlGYkVrdWZfRDBYR0paWmFNYXhnUkpDckxxWVMwcVdLZmhXUVRoQ0prLTlOTXhCeWdod1huT0E0YUx5c3NKRzdMVG5jVnFoTWFkeFZKTWlZaVNRanV2UUwtenQ3THR2c2RScTBWbzhJWkhvUFIzUTVKV3ZNYVAw0gHYAUFVX3lxTE55Q3FXS1BmOWF0dDNoNk5SU0VYMEpFWTR1eHVUTDdIY3RMamFGQ1p2RXg2WnhnY05wbzZrUmFteF8zaEZzeTRjZk5DbTlnek1RX2JTLU9WVEQ2ZWJtbk84TzduUDl0cGhudzhGMlljUFhLdGVBY2FaakktLVMwdWNtQWo4bVhRMndkUHNjUEowREJEdVlpa3NZaVUzZGl6VHNhemRsckhLakhiVjhJZERxTTZzV1cyYUpsVTcwbTh1ck9HZ0hLY2V4OFRZS3piS0JpcEdYM1NGYQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOYjcyb1ZKeUVzZWd5RlpLNlJfcE5RMlJwWGVWT09FMVRERTlhY0pYZzdQbEJRb1BDNHlEeDRKcGZwUkdna05hSmNvRjBBVV9LUTk4V0gzZlNLVDVWczlGYkVrdWZfRDBYR0paWmFNYXhnUkpDckxxWVMwcVdLZmhXUVRoQ0prLTlOTXhCeWdod1huT0E0YUx5c3NKRzdMVG5jVnFoTWFkeFZKTWlZaVNRanV2UUwtenQ3THR2c2RScTBWbzhJWkhvUFIzUTVKV3ZNYVAw0gHYAUFVX3lxTE55Q3FXS1BmOWF0dDNoNk5SU0VYMEpFWTR1eHVUTDdIY3RMamFGQ1p2RXg2WnhnY05wbzZrUmFteF8zaEZzeTRjZk5DbTlnek1RX2JTLU9WVEQ2ZWJtbk84TzduUDl0cGhudzhGMlljUFhLdGVBY2Faak"
158,Porn videos found on phone seized from rape convict Prajwal Revanna’s cell in Bengaluru jail,Sexual Assault,2026-09-12,Bengaluru,Bengaluru,Karnataka,12.9716,77.5946,Under Investigation,1,thesouthfirst.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxPM1hOS3lkM0VSdjJ3ZUpVZlN2QVBpSmZoSUdwcVRNRnR5TVZ1MXczRmdNYnB6VmJPUXhTNXNLaFI0dHg1VlFuMm41d2Q2c09OSDRaUWhaTWhtTzQ0NnJBbEN1bEVxbUg1Z1o3UjcyWkRtQWsyZ3JZN2ZGbjk3QjZjZjEzcG1ZUFpfV2lHWkkzbGJ3MGZtYlNtdU5TMk4zcno1SU94dHdzdGFZVVlfbHN6Zm5XbGN2bVVzSklCc1k2MHlpTzNKd0hv?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPM1hOS3lkM0VSdjJ3ZUpVZlN2QVBpSmZoSUdwcVRNRnR5TVZ1MXczRmdNYnB6VmJPUXhTNXNLaFI0dHg1VlFuMm41d2Q2c09OSDRaUWhaTWhtTzQ0NnJBbEN1bEVxbUg1Z1o3UjcyWkRtQWsyZ3JZN2ZGbjk3QjZjZjEzcG1ZUFpfV2lHWkkzbGJ3MGZtYlNtdU5TMk4zcno1SU94dHdzdGFZVVlfbHN6Zm5XbGN2bVVzSklCc1k2MHlpTzNKd0hv?oc=5"" target=""_blank"">Porn videos found on phone seized from rape convict Prajwal Revanna’s cell in Bengaluru jail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thesouthfirst.com</font>"
157,"Porn, movies found on seized phone, pen drive of jailed rape-convict Prajwal Revanna | India News",Sexual Assault,2026-09-12,,,,,,Under Investigation,1,Hindustan Times,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNWHZRd05idW5ZclpOZWhjdVhjUWRUczZCbzhQejFDYzQtVWh0NU9lOWNhWGxuZTJrY3lGTmpHOEdhS3g5TWtJNXZvSV9DUHZOVlVvWUtBZEtGRDVEZVY1YmJya0J2Z0QtQ2tsOFVNRWlpdFVCRm1pRVkwVnJ2dXNORndaQmJFcVpFdnROVmt0RUpZeWZObFg2T2EyS1JSSnNqb2lLOGZOSXlHeU5lLXdkNFQzMTZJY1BMdTJKUWhVNVpuSU9LMk4tWWs2MndXZVpzeklJU2tfeGU0bFB0b0HSAeMBQVVfeXFMTXJuYVJiMkhRcnRwQ3ozZXpnWUxIU1hEMFRLaTItM0pkcDhIS0pGNDdyNTNLcm04QlVCSFpKYXlQRUkxR09Tb0VkOWlVcjFpWk5qalVOOHE1VVdwYjFIWUdwTFpScktsazFuamFNVDdEajNIcm9Za3hRa3dHdjg2T2pyNjNVanY2QmVDU1llY1UxZ2p0cjNMcmJlby1qTWgyb18xdlctRnl0LTdfeGVIMVZRdVYzRG4yZU43ZWI0ZEJPSEpiSHJzREx0UW14alhmTVVvaC1pXzFZM0FXdVVQamd2d28?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxNWHZRd05idW5ZclpOZWhjdVhjUWRUczZCbzhQejFDYzQtVWh0NU9lOWNhWGxuZTJrY3lGTmpHOEdhS3g5TWtJNXZvSV9DUHZOVlVvWUtBZEtGRDVEZVY1YmJya0J2Z0QtQ2tsOFVNRWlpdFVCRm1pRVkwVnJ2dXNORndaQmJFcVpFdnROVmt0RUpZeWZObFg2T2EyS1JSSnNqb2lLOGZOSXlHeU5lLXdkNFQzMTZJY1BMdTJKUWhVNVpuSU9LMk4tWWs2MndXZVpzeklJU2tfeGU0bFB0b0HSAeMBQVVfeXFMTXJuYVJiMkhRcnRwQ3ozZXpnWUxIU1hEMFRLaTItM0pkcDhIS0pGNDdyNTNLcm04QlVCSFpKYXlQRUkxR09Tb0VkOWlVcjFpWk5qalVOOHE1VVdwYjFIWUdwTFpScktsazFuamFNVD"
154,‘Facts vs fiction’: The Hindu’s full-page ad for rape convict Gurmeet Ram Rahim,Sexual Assault,2026-09-12,,,,,,Under Investigation,1,Newslaundry,https://news.google.com/rss/articles/CBMitAFBVV95cUxPeVlwdk9qbWtvbU01TVdMTFgxWkhuT1Boang1VzVQX3R6V1dUVlpXMlFFbWFOTG9ZVlRyb09ackxXdzRQZ0ZYYnB3dlhMY3pTcU1GT3h6ejBTZEp0enNlM0R5ZmRRaXU2cUw4aHE3QTdKNEtMejg1bHA3OVV0eVFkUWEzZFMwMXBiSW9STkx3cnczOWMzbTh0dUNFOUFpbHZrNk4xUDJMNldsdmo3Zm5YU0Z2ZEvSAcoBQVVfeXFMTXZvOWVhckFLRUpwMkhLRkFpMHFsTVZIcnpCbzExa1JJdWoyS0VUVGZVc0dST0pVQnRMSndaenFSVHpjS3RJVllQejJPWjNxWHp1RnFvN1hVa1dRZUNVNlFFSm9YNHZHbmVoYjZScVM5YlBnVTYtYzdFYlhBWUg0OWdLN3RTOHFQcUtuSnIyNklCQmh0S0J4R0puMnVWdUFwUkx5X2QzVWVVTTJ0TWx5VEQzcXhBNXB1S3RqRjdKVXgyRk5DTWFXeG5DZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPeVlwdk9qbWtvbU01TVdMTFgxWkhuT1Boang1VzVQX3R6V1dUVlpXMlFFbWFOTG9ZVlRyb09ackxXdzRQZ0ZYYnB3dlhMY3pTcU1GT3h6ejBTZEp0enNlM0R5ZmRRaXU2cUw4aHE3QTdKNEtMejg1bHA3OVV0eVFkUWEzZFMwMXBiSW9STkx3cnczOWMzbTh0dUNFOUFpbHZrNk4xUDJMNldsdmo3Zm5YU0Z2ZEvSAcoBQVVfeXFMTXZvOWVhckFLRUpwMkhLRkFpMHFsTVZIcnpCbzExa1JJdWoyS0VUVGZVc0dST0pVQnRMSndaenFSVHpjS3RJVllQejJPWjNxWHp1RnFvN1hVa1dRZUNVNlFFSm9YNHZHbmVoYjZScVM5YlBnVTYtYzdFYlhBWUg0OWdLN3RTOHFQcUtuSnIyNklCQmh0S0J4R0"
144,Man sentenced to 20 years’ jail for minor’s rape | Hindustan Times,Sexual Assault,2026-09-12,,,,,,Convicted,1,Hindustan Times,https://news.google.com/rss/articles/CBMivAFBVV95cUxOb2FuVk1haW5OQTQzeWhJUnBzaWltc0t6R01xbmR3bXkyVHd5b3VCT0JpekUtTHlheWpyc3VNY3hxVEZGbU9GRS1CbElMMkhaOWJTNjhidXpkYUV4eU9BelI0TmJRQVM4aFZtdHY0elNyOVVaMDVOLXdPYlktQU5yaUpwaG1PZVpBS2dCVldxYWlrZnB2TjJiQUdZemFMWU9rSEpBdkVVSGFPcTZNY1dVRlNvSWlpdFdmRXNEMtIBwgFBVV95cUxNb0RXMzJqa0tZVzQ4VFFFUmZ6RFRvRC1RSXZqMEQxbmNqRkJodTJ4cVBMZTQyM0VoSkdzWHB1eVFYMDhGaU5NdG05dHAwamZFX0N3X3pYeXZKTkZhVTdMcy05Y1I5UjRUdzdNTlR0cThlLUptcUVMaWZTdkN0cHdXVFhYU0hGbXZZVWgzcU5HQ1NzR211R1FEVmxOemxPUEpmOGhOR3JtS0lnWFRRV0JfQ1R0RW4wYzRCeEpoLVBNcldzUQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOb2FuVk1haW5OQTQzeWhJUnBzaWltc0t6R01xbmR3bXkyVHd5b3VCT0JpekUtTHlheWpyc3VNY3hxVEZGbU9GRS1CbElMMkhaOWJTNjhidXpkYUV4eU9BelI0TmJRQVM4aFZtdHY0elNyOVVaMDVOLXdPYlktQU5yaUpwaG1PZVpBS2dCVldxYWlrZnB2TjJiQUdZemFMWU9rSEpBdkVVSGFPcTZNY1dVRlNvSWlpdFdmRXNEMtIBwgFBVV95cUxNb0RXMzJqa0tZVzQ4VFFFUmZ6RFRvRC1RSXZqMEQxbmNqRkJodTJ4cVBMZTQyM0VoSkdzWHB1eVFYMDhGaU5NdG05dHAwamZFX0N3X3pYeXZKTkZhVTdMcy05Y1I5UjRUdzdNTlR0cThlLUptcUVMaWZTdkN0cHdXVFhYU0hGbXZZVWgzcU5HQ1"
116,"Corporal Punishment Not ""Sexual Assault"": Supreme Court Quashes POCSO Case Against Bengal Teacher",POCSO / Minor,2026-09-12,,,,,,Under Investigation,1,LawBeat,https://news.google.com/rss/articles/CBMizgFBVV95cUxPSFFCUFJlUVI0T1pGSlp5WHZ1YXBhdnlkUXVoTDdndXE0UDg0SWlCSUQwQjU2YXJzUjVEbmVxaTQwTTBiWHE3Ykd5YkhFczBTX0daU05WWmRienlyOEgzWjNzbGNoc3dPQlZtUF9MbEpySXhKRDltVE8xZjRvSkFsb0J1eXVaTnRIeG9lWFp6MzZMWDYybzE5Y1lnZTVaNTlqZkdyVUhPTzhTVDREUjV6UE1rYnVYaDRvazN2M1dNLTFXQnFybWRtelZMSkU5d9IB0wFBVV95cUxQS3pjUU4ya1dKd1JYSjNRLUozRUFjTTBfVDctMlhoeVNBTzZwTXU1TUR0Yl9nLVBBRDRWN21seEVvTjgtTExJd01WTDBFQ1o2NHZxVV9VYnF2cEktVXBjTUpZYUpwZ1h5WUd6Q01feHJoX2hKeE1vdUFUdGtLS3BhaHVwZGp1Vl9LSUE5YVQ2VmdpcEl4Z1ZaaXVWVExFX1lTQlc0UEEtT3VzYTdzZV9sdUxQbjFWQ2l1ZkJOMGp4MHhiUzRsczlnRDlyVzY4Y1NEclZR?oc=5,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPSFFCUFJlUVI0T1pGSlp5WHZ1YXBhdnlkUXVoTDdndXE0UDg0SWlCSUQwQjU2YXJzUjVEbmVxaTQwTTBiWHE3Ykd5YkhFczBTX0daU05WWmRienlyOEgzWjNzbGNoc3dPQlZtUF9MbEpySXhKRDltVE8xZjRvSkFsb0J1eXVaTnRIeG9lWFp6MzZMWDYybzE5Y1lnZTVaNTlqZkdyVUhPTzhTVDREUjV6UE1rYnVYaDRvazN2M1dNLTFXQnFybWRtelZMSkU5d9IB0wFBVV95cUxQS3pjUU4ya1dKd1JYSjNRLUozRUFjTTBfVDctMlhoeVNBTzZwTXU1TUR0Yl9nLVBBRDRWN21seEVvTjgtTExJd01WTDBFQ1o2NHZxVV9VYnF2cEktVXBjTUpZYUpwZ1h5WUd6Q01feHJoX2hKeE1vdUFUdGtLS3"
557,Durg POCSO Court Awards Death Penalty To Man Convicted Of Raping And Murdering 6-Year-Old Girl,POCSO / Minor,2026-09-11,Durg,Durg,Chhattisgarh,21.19,81.28,Convicted,1,ETV Bharat,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNWjJULWUzMHV3RFIxbV92UlFMdmhyUDh2Y2pEeWprUW5oZmdxYkc1djQ0eWRnS0pvblNOOUZ1NENUUUNwOGlINk1IcEFDNXUtbEtvMUljcHZ0MXlZNUFQQnVXcjY2ZldDQlJub0cyUHRLY21KVVR4Uy1oRGFzeHlHTFA0eURXMEJsZE15Uy1xaUhMZGdKbTBPMm10REZ6RWRKVVZYc1BiU01nYWoxcEE3OEtvRU1yRHJHMDRkdHRCUnNhc0tBN0thSnBBNkVtb01QVUZxcFJmVk1fdktR0gHiAUFVX3lxTFA4aDktazFfanJFdm81RFhCWlpyVmc3SThYN25udlNBbTZIQnZIdGVqMkhncUJ4WHhhdVVGTDhfS3g5bklPQnBqWWpEc0RCV0c3bjBuTGVDRGNhOWl5QUZNc3kzYlJySXFlRU00dWxQbktydFlTTkllQVpiblBLRU5EdmI3WEV0VzhNbUVXUkhqRnNUa2FpU2VJVDhpenhreXFKWmYyUVFNYm94VlRlWjkwb1dSc1VpT0dEMmpXalh6NHRkd0l5ZkhYWlFJTFN2Ul9PQ3RKT25tMHczN29CSmYxSWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxNWjJULWUzMHV3RFIxbV92UlFMdmhyUDh2Y2pEeWprUW5oZmdxYkc1djQ0eWRnS0pvblNOOUZ1NENUUUNwOGlINk1IcEFDNXUtbEtvMUljcHZ0MXlZNUFQQnVXcjY2ZldDQlJub0cyUHRLY21KVVR4Uy1oRGFzeHlHTFA0eURXMEJsZE15Uy1xaUhMZGdKbTBPMm10REZ6RWRKVVZYc1BiU01nYWoxcEE3OEtvRU1yRHJHMDRkdHRCUnNhc0tBN0thSnBBNkVtb01QVUZxcFJmVk1fdktR0gHiAUFVX3lxTFA4aDktazFfanJFdm81RFhCWlpyVmc3SThYN25udlNBbTZIQnZIdGVqMkhncUJ4WHhhdVVGTDhfS3g5bklPQnBqWWpEc0RCV0c3bjBuTGVDRGNhOWl5QUZNc3kzYlJySXFlRU00dWxQbk"
464,Supreme Court weighs marital rape law and women’s autonomy,Domestic Violence,2026-09-11,,,,,,Under Investigation,1,newskarnataka.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxOWkRzWk1TQXZ3T2xMZWh0YTJidGVjUzB4VG0wRC1MUXNFeGpUUEZ1SDVaVE80TGEyQVlDUW4xN2ZoTE5xcHdQQ1dTaVE3bUZLbkFKLTEzYWYwM04tcUxackFUY3ZlQXFaa3dla1hUUjhhRVdlVTFxWldTdi16NVFadHhqLVBMaE9EZ3ZQLVBOWjluY1NpT2xyZkVjSEZ6Nnp4?oc=5,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOWkRzWk1TQXZ3T2xMZWh0YTJidGVjUzB4VG0wRC1MUXNFeGpUUEZ1SDVaVE80TGEyQVlDUW4xN2ZoTE5xcHdQQ1dTaVE3bUZLbkFKLTEzYWYwM04tcUxackFUY3ZlQXFaa3dla1hUUjhhRVdlVTFxWldTdi16NVFadHhqLVBMaE9EZ3ZQLVBOWjluY1NpT2xyZkVjSEZ6Nnp4?oc=5"" target=""_blank"">Supreme Court weighs marital rape law and women’s autonomy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newskarnataka.com</font>"
461,Supreme Court weighs marital rape law and women's autonomy,Domestic Violence,2026-09-11,,,,,,Under Investigation,1,dailyhunt.in,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPSm1LdGJLUmtPU3lqenVfRmR4dmtNbzI2czd0WDJlNnF3ck1Gd3piMFJVTHRTYVJDcFRKcmhWdGN3bE43R01RNzBfN1JzWC1RQlVjcjFRX2lzZm9ZWllqTTVwZWtIbW9YQi05YUFzRElhZHJYcHU0QWtrbnlGU0RSVmRqX3gteGJyOWVBVDg3SHN0YVVaQzhtMzdFUWt4R3hyVXBlS1NlV0ZyY3FJeDVBNzRYSi14NWtZZ2pIajZuUS1tV090ejBwYy1wLS1Sejd5N2dEQ1V5Z0tuWkozYmJQQQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPSm1LdGJLUmtPU3lqenVfRmR4dmtNbzI2czd0WDJlNnF3ck1Gd3piMFJVTHRTYVJDcFRKcmhWdGN3bE43R01RNzBfN1JzWC1RQlVjcjFRX2lzZm9ZWllqTTVwZWtIbW9YQi05YUFzRElhZHJYcHU0QWtrbnlGU0RSVmRqX3gteGJyOWVBVDg3SHN0YVVaQzhtMzdFUWt4R3hyVXBlS1NlV0ZyY3FJeDVBNzRYSi14NWtZZ2pIajZuUS1tV090ejBwYy1wLS1Sejd5N2dEQ1V5Z0tuWkozYmJQQQ?oc=5"" target=""_blank"">Supreme Court weighs marital rape law and women's autonomy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dailyhunt.in</font>"
196,Football & domestic violence: Unhelpful narratives,Domestic Violence,2026-09-11,,,,,,Under Investigation,1,Football Supporters' Association,https://news.google.com/rss/articles/CBMigAFBVV95cUxPZ2hMV3B2OE1ZVEZuSlI0MkpXRkZBLXMtdXZ4TElydzNKd1hvMHpBNU9TVHdaNVItX1pUbnRObEJQejhqMVppU0tvYVVXdjlsQlRqamk0TjRxYm95bldaVnRDb2JuMDljZGN4Y3pDZG55TFpGODBxUWxLeC12a05Ucw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxPZ2hMV3B2OE1ZVEZuSlI0MkpXRkZBLXMtdXZ4TElydzNKd1hvMHpBNU9TVHdaNVItX1pUbnRObEJQejhqMVppU0tvYVVXdjlsQlRqamk0TjRxYm95bldaVnRDb2JuMDljZGN4Y3pDZG55TFpGODBxUWxLeC12a05Ucw?oc=5"" target=""_blank"">Football & domestic violence: Unhelpful narratives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Football Supporters' Association</font>"
